#legend:
#N	qx	qy	re	im
0	-5	-5	0.806131	7.59158e-16
1	-5	-4.95	0.415746	-3.75429e-15
2	-5	-4.9	0.0393846	1.10393e-15
3	-5	-4.85	0.125607	3.29524e-15
4	-5	-4.8	0.448082	1.50522e-15
5	-5	-4.75	0.803331	4.4359e-15
6	-5	-4.7	0.789846	-4.16984e-16
7	-5	-4.65	0.556937	-3.13703e-15
8	-5	-4.6	0.432867	2.67937e-15
9	-5	-4.55	0.164445	4.28303e-16
10	-5	-4.5	0.00521923	-8.70658e-16
11	-5	-4.45	0.20008	3.76613e-15
12	-5	-4.4	0.169614	-1.18091e-14
13	-5	-4.35	0.000745062	-2.2868e-16
14	-5	-4.3	0.130687	-7.6909e-16
15	-5	-4.25	0.194786	-1.51264e-15
16	-5	-4.2	0.105195	-7.37214e-16
17	-5	-4.15	0.10877	-9.51236e-16
18	-5	-4.1	0.0506334	3.07909e-15
19	-5	-4.05	0.0313252	1.57834e-15
20	-5	-4	0.368644	-6.91964e-15
21	-5	-3.95	0.859934	-1.39349e-14
22	-5	-3.9	0.903413	2.63916e-14
23	-5	-3.85	0.370332	6.65275e-15
24	-5	-3.8	0.176599	4.72703e-15
25	-5	-3.75	0.758248	3.66547e-16
26	-5	-3.7	0.993616	-1.00322e-14
27	-5	-3.65	0.422267	8.68329e-15
28	-5	-3.6	0.0297357	1.24033e-17
29	-5	-3.55	0.127219	3.63373e-15
30	-5	-3.5	0.205773	-5.53863e-15
31	-5	-3.45	0.122265	1.93491e-15
32	-5	-3.4	0.0267864	1.19518e-15
33	-5	-3.35	0.0667115	-2.74798e-15
34	-5	-3.3	0.179952	2.42636e-15
35	-5	-3.25	0.203043	5.25621e-16
36	-5	-3.2	0.224542	-6.25845e-16
37	-5	-3.15	0.243643	-4.62304e-17
38	-5	-3.1	0.148484	8.7803e-16
39	-5	-3.05	0.0570268	3.22095e-16
40	-5	-3	0.040206	-1.13971e-16
41	-5	-2.95	0.121845	-2.43646e-15
42	-5	-2.9	0.216806	-2.84156e-15
43	-5	-2.85	0.0698236	2.65647e-15
44	-5	-2.8	0.0702737	-1.03337e-15
45	-5	-2.75	0.545628	-1.07236e-15
46	-5	-2.7	0.600481	-2.67178e-15
47	-5	-2.65	0.077038	-7.41928e-15
48	-5	-2.6	0.187515	9.42621e-15
49	-5	-2.55	0.775994	-1.31635e-15
50	-5	-2.5	0.684221	-1.20107e-14
51	-5	-2.45	0.192951	-4.30864e-15
52	-5	-2.4	0.01721	9.80097e-16
53	-5	-2.35	0.00133657	-3.46728e-17
54	-5	-2.3	0.0506264	-2.04032e-15
55	-5	-2.25	0.215926	-6.82332e-15
